Train_No,Start_Station_Code,Start_Station_Name,End_Station_Code,End_Station_Name,Total_Distance,Duration_Minutes,Duration_Hours,Route_Type
107,SWV,SAWANTWADI R,MAO,MADGOAN JN.,78,105.0,1.75,Short
108,MAO,MADGOAN JN.,SWV,SAWANTWADI R,83,115.0,1.9166666666666667,Short
128,MAO,MADGOAN JN.,KOP,CHHATRAPATI,978,1325.0,22.083333333333332,Long
290,DSJ,DELHI-SAFDAR,DSJ,DELHI-SAFDAR,2694,9120.0,152.0,Long
401,AWB,AURANGABAD,BSB,VARANASI JN.,1618,2190.0,36.5,Long
421,LKO,LUCKNOW JN.,SVDK,SHRI MATA VA,1276,1980.0,33.0,Long
422,SVDK,SHRI MATA VA,LKO,LUCKNOW JN.,1277,1605.0,26.75,Long
477,SSA,SIRSA,SSA,SIRSA,2616,3070.0,51.166666666666664,Long
502,RJPB,RAJENDRANAGA,UMB,AMBALA CANTT,1206,1380.0,23.0,Long
504,PNBE,PATNA JN.,BTI,BATHINDA JN,1313,1500.0,25.0,Long
506,PNBE,PATNA JN.,PTA,PATIALA,1161,1530.0,25.5,Long
557,URK,URKURA,PJP,PANJIPARA,1301,690.0,11.5,Long
604,PNBE,PATNA JN.,ASR,AMRITSAR JN.,1429,1650.0,27.5,Long
1011,CSMT,CST-MUMBAI,NGP,NAGPUR JN.(C,841,840.0,14.0,Long
1037,LTT,LOKMANYA TIL,SWV,SAWANTWADI R,513,560.0,9.333333333333334,Long
1038,SWV,SAWANTWADI R,LTT,LOKMANYA TIL,503,615.0,10.25,Long
1045,LTT,LOKMANYA TIL,KRMI,KARMALI,563,590.0,9.833333333333334,Long
1119,AJNI,AJNI,KRMI,KARMALI,1329,1480.0,24.666666666666668,Long
1120,KRMI,KARMALI,AJNI,AJNI,1319,1470.0,24.5,Long
1122,KRMI,KARMALI,CSMT,CST-MUMBAI,569,720.0,12.0,Long
1196,NGP,NAGPUR JN.(C,KRMI,KARMALI,1332,1540.0,25.666666666666668,Long
1301,PUNE,PUNE JN.,MAJN,MANGALORE JN,976,1060.0,17.666666666666668,Long
1302,MAJN,MANGALORE JN,PUNE,PUNE JN.,973,1285.0,21.416666666666668,Long
1442,DSJ,DELHI-SAFDAR,KK,KHADKI,1581,2340.0,39.0,Long
1655,PUNE,PUNE JN.,JBP,JABALPUR,1050,1170.0,19.5,Long
1656,JBP,JABALPUR,PUNE,PUNE JN.,1050,1115.0,18.583333333333332,Long
1705,BDTS,BANDRA TERMI,JBP,JABALPUR,1261,1285.0,21.416666666666668,Long
1706,JBP,JABALPUR,BDTS,BANDRA TERMI,1262,1255.0,20.916666666666668,Long
1707,JBP,JABALPUR,ATT,ATARI JN,1360,1590.0,26.5,Long
1708,ATT,ATARI JN,JBP,JABALPUR,1362,1595.0,26.583333333333332,Long
2025,CSMT,CST-MUMBAI,KRMI,KARMALI,579,500.0,8.333333333333334,Long
2026,KRMI,KARMALI,CSMT,CST-MUMBAI,569,510.0,8.5,Long
2191,JBP,JABALPUR,SRC,SANTRAGACHI,1123,1190.0,19.833333333333332,Long
2192,SRC,SANTRAGACHI,JBP,JABALPUR,1123,1150.0,19.166666666666668,Long
2195,REWA,REWA,BPL,BHOPAL,551,580.0,9.666666666666666,Long
2196,BPL,BHOPAL,REWA,REWA,549,600.0,10.0,Long
2515,TVC,TRIVANDRUM C,SCL,SILCHAR,3939,4615.0,76.91666666666667,Long
2651,PLNI,PALANI,POY,POLLACHI,62,85.0,1.4166666666666667,Short
2652,POY,POLLACHI,PLNI,PALANI,62,85.0,1.4166666666666667,Short
2731,HYB,HYDERABAD DE,JP,JAIPUR JN.,1854,2280.0,38.0,Long
2732,JP,JAIPUR JN.,HYB,HYDERABAD DE,1853,2125.0,35.416666666666664,Long
2821,PUNE,PUNE JN.,SRC,SANTRAGACHI,2066,1905.0,31.75,Long
2822,SRC,SANTRAGACHI,PUNE,PUNE JN.,2073,1935.0,32.25,Long
2833,RJT,RAJKOT,SRC,SANTRAGACHI,2332,2535.0,42.25,Long
2834,SRC,SANTRAGACHI,RJT,RAJKOT,2351,2440.0,40.666666666666664,Long
2841,SRC,SANTRAGACHI,MAS,CHENNAI CENT,1656,1600.0,26.666666666666668,Long
2842,MAS,CHENNAI CENT,SRC,SANTRAGACHI,1656,1750.0,29.166666666666668,Long
2845,PUNE,PUNE JN.,HTE,HATIA,1770,1895.0,31.583333333333332,Long
2846,HTE,HATIA,PUNE,PUNE JN.,1791,1785.0,29.75,Long
3101,KOAA,KOLKATA,PURI,PURI,523,715.0,11.916666666666666,Long
3102,PURI,PURI,KOAA,KOLKATA,522,700.0,11.666666666666666,Long
3301,ASN,ASANSOL MAIN,DHN,DHANBAD JN.,58,85.0,1.4166666666666667,Short
3302,DHN,DHANBAD JN.,ASN,ASANSOL MAIN,58,85.0,1.4166666666666667,Short
3305,DHN,DHANBAD JN.,KDS,KUSUNDA,3,20.0,0.3333333333333333,Short
3306,KDS,KUSUNDA,DHN,DHANBAD JN.,3,20.0,0.3333333333333333,Short
3307,SZE,SONARDIH,PLJE,PHULWARTANR,4,35.0,0.5833333333333334,Short
3308,PLJE,PHULWARTANR,SZE,SONARDIH,4,30.0,0.5,Short
3501,JSME,JASIDIH JN.,ANVT,ANAND VIHAR,1193,1180.0,19.666666666666668,Long
3502,ANVT,ANAND VIHAR,JSME,JASIDIH JN.,1193,1300.0,21.666666666666668,Long
4401,ANVT,ANAND VIHAR,SVDK,SHRI MATA VA,710,880.0,14.666666666666666,Long
4402,SVDK,SHRI MATA VA,ANVT,ANAND VIHAR,710,855.0,14.25,Long
4409,DLI,DELHI JN.,SVDK,SHRI MATA VA,653,860.0,14.333333333333334,Long
4410,SVDK,SHRI MATA VA,DLI,DELHI JN.,653,825.0,13.75,Long
4419,MAO,MADGOAN JN.,NZM,HAZRAT NIZAM,1916,1815.0,30.25,Long
4420,NZM,HAZRAT NIZAM,MAO,MADGOAN JN.,1924,1685.0,28.083333333333332,Long
4735,BKN,BIKANER JN.,HW,HARIDWAR JN,691,880.0,14.666666666666666,Long
4736,HW,HARIDWAR JN,BKN,BIKANER JN.,691,815.0,13.583333333333334,Long
4767,HMH,HANUMANGARH,SGNR,SHRI GANGANA,67,100.0,1.6666666666666667,Short
4768,SGNR,SHRI GANGANA,HMH,HANUMANGARH,67,110.0,1.8333333333333333,Short
4769,HMH,HANUMANGARH,SGNR,SHRI GANGANA,67,105.0,1.75,Short
4770,SGNR,SHRI GANGANA,HMH,HANUMANGARH,67,95.0,1.5833333333333333,Short
4771,SDLP,SADULPUR JN,SGNR,SHRI GANGANA,232,370.0,6.166666666666667,Medium
4772,SGNR,SHRI GANGANA,SDLP,SADULPUR JN,232,375.0,6.25,Medium
4773,SGNR,SHRI GANGANA,SOG,SURATGARH JN,125,185.0,3.0833333333333335,Medium
4774,SOG,SURATGARH JN,SGNR,SHRI GANGANA,125,155.0,2.5833333333333335,Medium
4801,PBC,PARVATSAR CI,MKN,MAKRANA JN.,21,60.0,1.0,Short
4802,MKN,MAKRANA JN.,PBC,PARVATSAR CI,21,60.0,1.0,Short
4831,JU,JODHPUR JN.,HW,HARIDWAR JN,882,1275.0,21.25,Long
4832,HW,HARIDWAR JN,JU,JODHPUR JN.,881,1140.0,19.0,Long
4851,MTD,MERTA ROAD J,RTGH,RATANAGARH J,197,280.0,4.666666666666667,Medium
4852,RTGH,RATANAGARH J,MTD,MERTA ROAD J,197,305.0,5.083333333333333,Medium
4853,RTGH,RATANAGARH J,CUR,CHURU,42,75.0,1.25,Short
4854,CUR,CHURU,RTGH,RATANAGARH J,42,60.0,1.0,Short
4921,SRE,SAHARANPUR J,UMB,AMBALA CANTT,81,105.0,1.75,Short
4922,UMB,AMBALA CANTT,SRE,SAHARANPUR J,81,115.0,1.9166666666666667,Short
4991,PTK,PATHANKOT JN,JAT,JAMMU TAWI,99,150.0,2.5,Short
4992,JAT,JAMMU TAWI,PTK,PATHANKOT JN,99,140.0,2.3333333333333335,Short
5061,GKP,GORAKHPUR JN,BNY,BARHNI,112,185.0,3.0833333333333335,Medium
5062,BNY,BARHNI,GKP,GORAKHPUR JN,112,165.0,2.75,Medium
5065,CPR,CHHAPRA JN.,LJN,LUCKNOW JN.,503,765.0,12.75,Long
5066,LJN,LUCKNOW JN.,CPR,CHHAPRA JN.,505,720.0,12.0,Long
5105,GKP,GORAKHPUR JN,BST,BASTI,64,110.0,1.8333333333333333,Short
5106,BST,BASTI,GKP,GORAKHPUR JN,64,90.0,1.5,Short
5305,CPA,KANPUR ANWAR,FBD,FARRUKHABAD,136,210.0,3.5,Medium
5306,FBD,FARRUKHABAD,CPA,KANPUR ANWAR,136,175.0,2.9166666666666665,Medium
5309,BC,BAREILLY CIT,LKU,LALKUA JN.,81,110.0,1.8333333333333333,Short
5310,LKU,LALKUA JN.,BC,BAREILLY CIT,81,115.0,1.9166666666666667,Short
5521,JMP,JAMALPUR JN.,SHC,SAHARSA JN.,81,225.0,3.75,Short
5522,SHC,SAHARSA JN.,JMP,JAMALPUR JN.,81,170.0,2.8333333333333335,Short
5613,JLWC,JHALAWAR CIT,KOTA,KOTA,85,125.0,2.0833333333333335,Short
5614,KOTA,KOTA,JLWC,JHALAWAR CIT,85,135.0,2.25,Short
5619,NLP,NORTH LAKHIM,MZS,MURKEONG SEL,153,250.0,4.166666666666667,Medium
5620,MZS,MURKEONG SEL,NLP,NORTH LAKHIM,153,245.0,4.083333333333333,Medium
5631,GHY,GUWAHATI,SCL,SILCHAR,380,745.0,12.416666666666666,Medium
5632,SCL,SILCHAR,GHY,GUWAHATI,379,745.0,12.416666666666666,Medium
5715,NJP,NEW JALPAIGU,KNE,KISHANGANJ,87,130.0,2.1666666666666665,Short
5716,KNE,KISHANGANJ,NJP,NEW JALPAIGU,87,150.0,2.5,Short
5719,KIR,KATIHAR JN.,SGUJ,SILIGURI JN.,204,240.0,4.0,Medium
5720,SGUJ,SILIGURI JN.,KIR,KATIHAR JN.,205,300.0,5.0,Medium
5863,RNY,RANGIYA JN.,RPAN,RANGAPARA NO,89,185.0,3.0833333333333335,Short
5864,RPAN,RANGAPARA NO,RNY,RANGIYA JN.,88,165.0,2.75,Short
5865,RNY,RANGIYA JN.,MZS,MURKEONG SEL,426,725.0,12.083333333333334,Medium
5866,MZS,MURKEONG SEL,RNY,RANGIYA JN.,425,705.0,11.75,Medium
6001,MS,CHENNAI EGMO,TEN,TIRUNELVELI,649,760.0,12.666666666666666,Long
6002,TEN,TIRUNELVELI,MS,CHENNAI EGMO,649,750.0,12.5,Long
6006,ERS,ERNAKULAM. J,MAS,CHENNAI CENT,699,905.0,15.083333333333334,Long
6009,SRC,SANTRAGACHI,PDY,PONDICHERRY,1844,1805.0,30.083333333333332,Long
6010,PDY,PONDICHERRY,SRC,SANTRAGACHI,1843,1995.0,33.25,Long
6041,MAS,CHENNAI CENT,QLN,QUILON,849,1000.0,16.666666666666668,Long
6042,QLN,QUILON,MAS,CHENNAI CENT,851,975.0,16.25,Long
6043,MAS,CHENNAI CENT,QLN,QUILON,849,960.0,16.0,Long
6044,QLN,QUILON,MAS,CHENNAI CENT,852,965.0,16.083333333333332,Long
6046,QLN,QUILON,MAS,CHENNAI CENT,852,1080.0,18.0,Long
6047,MAS,CHENNAI CENT,QLN,QUILON,849,970.0,16.166666666666668,Long
6048,QLN,QUILON,MAS,CHENNAI CENT,852,1020.0,17.0,Long
6049,MS,CHENNAI EGMO,QLN,QUILON,855,905.0,15.083333333333334,Long
6050,QLN,QUILON,MS,CHENNAI EGMO,857,990.0,16.5,Long
6053,KCVL,KOCHUVELI,MAJN,MANGALORE JN,626,635.0,10.583333333333334,Long
6054,MAJN,MANGALORE JN,KCVL,KOCHUVELI,627,800.0,13.333333333333334,Long
6057,SRC,SANTRAGACHI,MAS,CHENNAI CENT,1656,1780.0,29.666666666666668,Long
6058,MAS,CHENNAI CENT,SRC,SANTRAGACHI,1655,1665.0,27.75,Long
6065,CGL,CHENGALPATTU,MDU,MADURAI JN,500,805.0,13.416666666666666,Medium
6066,MDU,MADURAI JN,CGL,CHENGALPATTU,501,635.0,10.583333333333334,Long
6067,CGL,CHENGALPATTU,CBE,COIMBATORE,522,595.0,9.916666666666666,Long
6068,CBE,COIMBATORE,CGL,CHENGALPATTU,522,715.0,11.916666666666666,Long
6081,CBE,COIMBATORE,POY,POLLACHI,45,70.0,1.1666666666666667,Short
6082,POY,POLLACHI,CBE,COIMBATORE,45,70.0,1.1666666666666667,Short
6412,DSJ,DELHI-SAFDAR,PAY,PAYYANUR,2462,3190.0,53.166666666666664,Long
6512,MKM,MARIKUPPAM,BAND,BANASWADI,77,140.0,2.3333333333333335,Short
6513,BWT,BANGARPET JN,MKM,MARIKUPPAM,17,35.0,0.5833333333333334,Short
6541,YPR,YESVANTPUR J,PVR,PANDHARPUR,881,1055.0,17.583333333333332,Long
6542,PVR,PANDHARPUR,YPR,YESVANTPUR J,878,1005.0,16.75,Long
6547,YPR,YESVANTPUR J,ERS,ERNAKULAM. J,632,705.0,11.75,Long
6548,ERS,ERNAKULAM. J,YPR,YESVANTPUR J,634,825.0,13.75,Long
6579,YPR,YESVANTPUR J,VSKP,VISAKHAPATNA,1089,1200.0,20.0,Long
6580,VSKP,VISAKHAPATNA,YPR,YESVANTPUR J,1086,1160.0,19.333333333333332,Long
6581,YPR,YESVANTPUR J,BGM,BELGAUM,607,796.0,13.266666666666667,Long
6582,BGM,BELGAUM,YPR,YESVANTPUR J,604,796.0,13.266666666666667,Long
6591,YPR,YESVANTPUR J,HSRA,HOSUR,62,90.0,1.5,Short
6592,HSRA,HOSUR,YPR,YESVANTPUR J,61,95.0,1.5833333333333333,Short
6593,WFD,WHITE FIELD,BYPL,BAIYYAPPANAH,10,25.0,0.4166666666666667,Short
6594,BYPL,BAIYYAPPANAH,WFD,WHITE FIELD,10,25.0,0.4166666666666667,Short
6595,YPR,YESVANTPUR J,DHL,DEVANHALLI,33,50.0,0.8333333333333334,Short
6596,DHL,DEVANHALLI,YPR,YESVANTPUR J,33,70.0,1.1666666666666667,Short
6647,KRBA,KORBA,BSP,BILASPUR JN.,89,130.0,2.1666666666666665,Short
6648,BSP,BILASPUR JN.,KRBA,KORBA,89,150.0,2.5,Short
6769,PGTN,PALGHAT TOWN,PLNI,PALANI,116,160.0,2.6666666666666665,Medium
6770,PLNI,PALANI,PGTN,PALGHAT TOWN,116,185.0,3.0833333333333335,Medium
6851,KIK,KARAIKAL,NCR,NAGORE,10,20.0,0.3333333333333333,Short
6852,NCR,NAGORE,KIK,KARAIKAL,10,25.0,0.4166666666666667,Short
6853,KIK,KARAIKAL,NCR,NAGORE,10,23.0,0.38333333333333336,Short
6854,NCR,NAGORE,KIK,KARAIKAL,10,25.0,0.4166666666666667,Short
6919,UBL,HUBLI JN.,BJP,BIJAPUR JN,247,416.0,6.933333333333334,Medium
6920,BJP,BIJAPUR JN,UBL,HUBLI JN.,248,411.0,6.85,Medium
7005,HYB,HYDERABAD DE,RXL,RAXAUL JN.,2276,2640.0,44.0,Long
7006,RXL,RAXAUL JN.,HYB,HYDERABAD DE,2297,2745.0,45.75,Long
7007,SC,SECUNDERABAD,DBG,DARBHANGA JN,2023,2385.0,39.75,Long
7008,DBG,DARBHANGA JN,SC,SECUNDERABAD,2033,2470.0,41.166666666666664,Long
7016,KCG,KACHEGUDA,VSKP,VISAKHAPATNA,670,785.0,13.083333333333334,Long
7044,TPTY,TIRUPATI,VSKP,VISAKHAPATNA,735,905.0,15.083333333333334,Long
7061,COA,KAKINADA POR,BZA,VIJAYWADA JN,217,270.0,4.5,Medium
7062,VLNK,VELANKANNI,TPTY,TIRUPATI,437,750.0,12.5,Medium
7075,SC,SECUNDERABAD,CCT,KAKINADA TOW,554,610.0,10.166666666666666,Long
7076,CCT,KAKINADA TOW,SC,SECUNDERABAD,553,710.0,11.833333333333334,Long
7109,HYB,HYDERABAD DE,QLN,QUILON,1589,1875.0,31.25,Long
7110,QLN,QUILON,HYB,HYDERABAD DE,1593,1935.0,32.25,Long
7113,KRMR,KARIM NAGAR,QLN,QUILON,1543,1870.0,31.166666666666668,Long
7133,HYB,HYDERABAD DE,QLN,QUILON,1508,1900.0,31.666666666666668,Long
7134,QLN,QUILON,HYB,HYDERABAD DE,1511,1935.0,32.25,Long
7141,HYB,HYDERABAD DE,QLN,QUILON,1560,1855.0,30.916666666666668,Long
7142,QLN,QUILON,HYB,HYDERABAD DE,1563,1815.0,30.25,Long
7146,TPTY,TIRUPATI,KCG,KACHEGUDA,763,810.0,13.5,Long
7149,SC,SECUNDERABAD,GHY,GUWAHATI,2563,2955.0,49.25,Long
7211,CCT,KAKINADA TOW,QLN,QUILON,1433,1840.0,30.666666666666668,Long
7212,QLN,QUILON,CCT,KAKINADA TOW,1436,1680.0,28.0,Long
7213,BZA,VIJAYWADA JN,QLN,QUILON,1221,1590.0,26.5,Long
7214,QLN,QUILON,BZA,VIJAYWADA JN,1226,1445.0,24.083333333333332,Long
7217,NS,NARASAPUR,QLN,QUILON,1360,1840.0,30.666666666666668,Long
7218,QLN,QUILON,NS,NARASAPUR,1363,1695.0,28.25,Long
7410,TPTY,TIRUPATI,AWB,AURANGABAD,1147,1455.0,24.25,Long
7417,TPTY,TIRUPATI,NSL,NAGARSOL,1330,1705.0,28.416666666666668,Long
7418,NSL,NAGARSOL,TPTY,TIRUPATI,1331,1800.0,30.0,Long
7425,KCG,KACHEGUDA,COA,KAKINADA POR,537,675.0,11.25,Long
7426,COA,KAKINADA POR,KCG,KACHEGUDA,537,680.0,11.333333333333334,Long
7429,SC,SECUNDERABAD,TPTY,TIRUPATI,742,750.0,12.5,Long
7430,TPTY,TIRUPATI,SC,SECUNDERABAD,744,825.0,13.75,Long
7431,CCT,KAKINADA TOW,TPTY,TIRUPATI,597,660.0,11.0,Long
7432,TPTY,TIRUPATI,CCT,KAKINADA TOW,597,660.0,11.0,Long
7435,CCT,KAKINADA TOW,SC,SECUNDERABAD,555,720.0,12.0,Long
7436,SC,SECUNDERABAD,CCT,KAKINADA TOW,554,725.0,12.083333333333334,Long
7438,KCG,KACHEGUDA,TATA,TATANAGAR JN,1533,1845.0,30.75,Long
7439,TATA,TATANAGAR JN,KCG,KACHEGUDA,1533,1810.0,30.166666666666668,Long
7487,TPTY,TIRUPATI,VSKP,VISAKHAPATNA,735,735.0,12.25,Long
7505,AWB,AURANGABAD,QLN,QUILON,1973,2445.0,40.75,Long
7509,ADB,ADILABAD,QLN,QUILON,1886,2300.0,38.333333333333336,Long
7517,BIDR,BIDAR,PVR,PANDHARPUR,350,555.0,9.25,Medium
7525,SGUJ,SILIGURI JN.,NBQ,NEW BONGAIGA,322,555.0,9.25,Medium
7526,NBQ,NEW BONGAIGA,SGUJ,SILIGURI JN.,322,600.0,10.0,Medium
7603,KCG,KACHEGUDA,KJM,KRISHNA RAJA,624,720.0,12.0,Long
7604,KJM,KRISHNA RAJA,KCG,KACHEGUDA,624,930.0,15.5,Long
7607,NED,NANDED,TPTY,TIRUPATI,1014,1155.0,19.25,Long
7608,TPTY,TIRUPATI,NED,NANDED,1016,1185.0,19.75,Long
7613,NZB,NIZAMABAD,QLN,QUILON,1636,2100.0,35.0,Long
7614,QLN,QUILON,NZB,NIZAMABAD,1641,2100.0,35.0,Long
7644,CCT,KAKINADA TOW,TPTY,TIRUPATI,597,695.0,11.583333333333334,Long
7645,RU,RENIGUNTA JN,CCT,KAKINADA TOW,587,555.0,9.25,Long
7757,SC,SECUNDERABAD,BZA,VIJAYWADA JN,314,315.0,5.25,Medium
7758,BZA,VIJAYWADA JN,SC,SECUNDERABAD,314,320.0,5.333333333333333,Medium
7941,CCT,KAKINADA TOW,RU,RENIGUNTA JN,587,660.0,11.0,Long
7942,TPTY,TIRUPATI,CCT,KAKINADA TOW,597,630.0,10.5,Long
8001,KGP,KHARAGPUR,JGM,JHARGRAM,39,35.0,0.5833333333333334,Short
8002,JGM,JHARGRAM,KGP,KHARAGPUR,39,45.0,0.75,Short
8014,MDN,MIDNAPORE,KGP,KHARAGPUR,12,40.0,0.6666666666666666,Short
8017,KGP,KHARAGPUR,JGM,JHARGRAM,39,50.0,0.8333333333333334,Short
8018,JGM,JHARGRAM,KGP,KHARAGPUR,39,55.0,0.9166666666666666,Short
8035,KGP,KHARAGPUR,BLS,BALASORE,120,175.0,2.9166666666666665,Medium
8036,BLS,BALASORE,KGP,KHARAGPUR,120,180.0,3.0,Medium
8051,KGP,KHARAGPUR,JGM,JHARGRAM,39,29.0,0.48333333333333334,Short
8052,JGM,JHARGRAM,KGP,KHARAGPUR,39,45.0,0.75,Short
8061,SHM,SHALIMAR,JP,JAIPUR JN.,1847,2055.0,34.25,Long
8062,JP,JAIPUR JN.,SHM,SHALIMAR,1838,2075.0,34.583333333333336,Long
8063,KGP,KHARAGPUR,BQA,BANKURA,115,180.0,3.0,Medium
8064,YPR,YESVANTPUR J,HWH,HOWRAH JN.,2039,1930.0,32.166666666666664,Long
8065,KGP,KHARAGPUR,BQA,BANKURA,115,160.0,2.6666666666666665,Medium
8082,BQA,BANKURA,VSU,BISHNUPUR,30,30.0,0.5,Short
8087,VSU,BISHNUPUR,BQA,BANKURA,30,28.0,0.4666666666666667,Short
8101,CBSA,CHAIBASA,CKP,CHAKARADHARP,40,80.0,1.3333333333333333,Short
8102,CKP,CHAKARADHARP,CBSA,CHAIBASA,40,55.0,0.9166666666666666,Short
8301,SBP,SAMBALPUR JN,BAND,BANASWADI,1567,1870.0,31.166666666666668,Long
8302,BAND,BANASWADI,SBP,SAMBALPUR JN,1567,1805.0,30.083333333333332,Long
8403,PURI,PURI,SRC,SANTRAGACHI,495,560.0,9.333333333333334,Medium
8404,SRC,SANTRAGACHI,PURI,PURI,497,530.0,8.833333333333334,Medium
8501,VSKP,VISAKHAPATNA,SC,SECUNDERABAD,700,780.0,13.0,Long
8502,SC,SECUNDERABAD,VSKP,VISAKHAPATNA,698,740.0,12.333333333333334,Long
8511,KRDL,KIRANDUL,VSKP,VISAKHAPATNA,471,720.0,12.0,Medium
8512,VSKP,VISAKHAPATNA,KRDL,KIRANDUL,471,705.0,11.75,Medium
8567,VSKP,VISAKHAPATNA,QLN,QUILON,1571,1725.0,28.75,Long
8568,QLN,QUILON,VSKP,VISAKHAPATNA,1578,1845.0,30.75,Long
8573,VSKP,VISAKHAPATNA,TPTY,TIRUPATI,760,870.0,14.5,Long
8574,TPTY,TIRUPATI,VSKP,VISAKHAPATNA,759,920.0,15.333333333333334,Long
8581,BPQ,BALHARSHAH,CAF,CHANDAFORT,11,20.0,0.3333333333333333,Short
8582,CAF,CHANDAFORT,BPQ,BALHARSHAH,11,15.0,0.25,Short
8617,RNC,RANCHI,ANVT,ANAND VIHAR,1365,1430.0,23.833333333333332,Long
8618,ANVT,ANAND VIHAR,RNC,RANCHI,1356,1420.0,23.666666666666668,Long
8627,HWH,HOWRAH JN.,RNC,RANCHI,484,560.0,9.333333333333334,Medium
8628,RNC,RANCHI,HWH,HOWRAH JN.,481,570.0,9.5,Medium
8872,DURG,DURG,G,GONDIA JN.,133,165.0,2.75,Medium
9003,BDTS,BANDRA TERMI,NZM,HAZRAT NIZAM,1355,835.0,13.916666666666666,Long
9004,NZM,HAZRAT NIZAM,BDTS,BANDRA TERMI,1358,835.0,13.916666666666666,Long
9005,BCT,MUMBAI CENTR,NDLS,NEW DELHI,1373,955.0,15.916666666666666,Long
9006,NDLS,NEW DELHI,BCT,MUMBAI CENTR,1376,965.0,16.083333333333332,Long
9011,BDTS,BANDRA TERMI,BKN,BIKANER JN.,1209,1330.0,22.166666666666668,Long
9012,BKN,BIKANER JN.,BDTS,BANDRA TERMI,1211,1315.0,21.916666666666668,Long
9433,BDTS,BANDRA TERMI,GIMB,GANDHIDHAM J,780,805.0,13.416666666666666,Long
9434,GIMB,GANDHIDHAM J,BDTS,BANDRA TERMI,780,820.0,13.666666666666666,Long
9621,AII,AJMER JN.,BDTS,BANDRA TERMI,1281,1335.0,22.25,Long
9622,BDTS,BANDRA TERMI,AII,AJMER JN.,1281,1270.0,21.166666666666668,Long
9721,JP,JAIPUR JN.,UDZ,UDAIPUR CITY,429,435.0,7.25,Medium
9722,UDZ,UDAIPUR CITY,JP,JAIPUR JN.,429,420.0,7.0,Medium
9761,SGNR,SHRI GANGANA,SOG,SURATGARH JN,125,165.0,2.75,Medium
9809,KOTA,KOTA,NZM,HAZRAT NIZAM,447,430.0,7.166666666666667,Medium
9810,NZM,HAZRAT NIZAM,KOTA,KOTA,450,480.0,8.0,Medium
10103,CSMT,CST-MUMBAI,MAO,MADGOAN JN.,590,695.0,11.583333333333334,Long
10104,MAO,MADGOAN JN.,CSMT,CST-MUMBAI,594,745.0,12.416666666666666,Long
10111,CSMT,CST-MUMBAI,MAO,MADGOAN JN.,590,700.0,11.666666666666666,Long
10112,MAO,MADGOAN JN.,CSMT,CST-MUMBAI,594,710.0,11.833333333333334,Long
10215,MAO,MADGOAN JN.,ERS,ERNAKULAM. J,726,805.0,13.416666666666666,Long
10216,ERS,ERNAKULAM. J,MAO,MADGOAN JN.,727,805.0,13.416666666666666,Long
11001,SNSI,SAI NAGAR SH,PVR,PANDHARPUR,348,435.0,7.25,Medium
11002,PVR,PANDHARPUR,SNSI,SAI NAGAR SH,348,445.0,7.416666666666667,Medium
11003,DR,DADAR,SWV,SAWANTWADI R,502,635.0,10.583333333333334,Long
11004,SWV,SAWANTWADI R,DR,DADAR,504,715.0,11.916666666666666,Long
11005,DR,DADAR,PDY,PONDICHERRY,1636,2025.0,33.75,Long
11006,PDY,PONDICHERRY,DR,DADAR,1639,1970.0,32.833333333333336,Long
11007,CSMT,CST-MUMBAI,PUNE,PUNE JN.,191,245.0,4.083333333333333,Medium
11008,PUNE,PUNE JN.,CSMT,CST-MUMBAI,191,242.0,4.033333333333333,Medium
11009,CSMT,CST-MUMBAI,PUNE,PUNE JN.,191,250.0,4.166666666666667,Medium
11010,PUNE,PUNE JN.,CSMT,CST-MUMBAI,191,230.0,3.8333333333333335,Medium
11011,LTT,LOKMANYA TIL,NED,NANDED,723,1000.0,16.666666666666668,Long
11012,NED,NANDED,LTT,LOKMANYA TIL,723,1035.0,17.25,Long
11013,LTT,LOKMANYA TIL,CBE,COIMBATORE,1515,1960.0,32.666666666666664,Long
11014,CBE,COIMBATORE,LTT,LOKMANYA TIL,1515,1775.0,29.583333333333332,Long
11015,LTT,LOKMANYA TIL,GKP,GORAKHPUR JN,1678,1940.0,32.333333333333336,Long
11016,GKP,GORAKHPUR JN,LTT,LOKMANYA TIL,1677,2000.0,33.333333333333336,Long
11017,LTT,LOKMANYA TIL,KIK,KARAIKAL,1631,1830.0,30.5,Long
11018,KIK,KARAIKAL,LTT,LOKMANYA TIL,1634,2025.0,33.75,Long
11019,CSMT,CST-MUMBAI,BBS,BHUBANESWAR,1941,2225.0,37.083333333333336,Long
11020,BBS,BHUBANESWAR,CSMT,CST-MUMBAI,1941,2190.0,36.5,Long
11021,DR,DADAR,TEN,TIRUNELVELI,1843,2295.0,38.25,Long
11022,TEN,TIRUNELVELI,DR,DADAR,1845,2320.0,38.666666666666664,Long
11023,CSMT,CST-MUMBAI,KOP,CHHATRAPATI,517,735.0,12.25,Long
11024,KOP,CHHATRAPATI,CSMT,CST-MUMBAI,517,780.0,13.0,Long
11025,BSL,BHUSAVAL JN.,PUNE,PUNE JN.,545,700.0,11.666666666666666,Long
11026,PUNE,PUNE JN.,BSL,BHUSAVAL JN.,545,605.0,10.083333333333334,Long
11027,CSMT,CST-MUMBAI,MAS,CHENNAI CENT,1281,1665.0,27.75,Long
11028,MAS,CHENNAI CENT,CSMT,CST-MUMBAI,1283,1670.0,27.833333333333332,Long
